Trial_ID,Participant_ID,Task_Number,Task_Difficulty,Task_Description,ASR_Transcript,Reference_Text,ASR_Accuracy,LLM_Suggestion_1,LLM_Suggestion_2,LLM_Suggestion_3,Correct_Suggestion_Rank,User_Choice,Final_Command,Execution_Success,Execution_Time_Seconds,ASR_Time,LLM_Time,Confirmation_Time,Total_Latency,Retry_Count,Manual_Edit,Error_Category,Error_Details
T001,P01,1,Easy,List files in current directory,List files in current directory,List files in current directory,100.0,dir,ls,Get-ChildItem,1,dir,dir,1,0.8,2.1,4.2,1.1,7.4,0,No,None,None
T002,P01,2,Easy,Show current working directory,Show current working directory,Show current working directory,100.0,pwd,cd,Get-Location,1,pwd,pwd,1,0.6,2.3,4.1,1.0,7.4,0,No,None,None
T003,P01,3,Medium,Find all PDF files recursively,Find all PDF files recursively,Find all PDF files recursively,100.0,Get-ChildItem -Recurse -Filter *.pdf,dir /s *.pdf,find . -name "*.pdf",1,Get-ChildItem -Recurse -Filter *.pdf,Get-ChildItem -Recurse -Filter *.pdf,1,1.2,2.4,4.5,1.3,8.2,0,No,None,None
T004,P01,4,Medium,Count lines in text file,Count lines in text file,Count lines in text file,100.0,Get-Content file.txt | Measure-Object -Line,Get-Content file.txt | Measure-Object -Line,wc -l file.txt,1,Get-Content file.txt | Measure-Object -Line,Get-Content file.txt | Measure-Object -Line,1,1.1,2.2,4.3,1.2,7.7,0,No,None,None
T005,P01,5,Hard,Compress logs folder and move to desktop,Compress logs folder and move to desktop,Compress logs folder and move to desktop,100.0,Compress-Archive -Path logs -DestinationPath $env:USERPROFILE\Desktop\logs.zip,Compress-Archive -Path logs -DestinationPath $env:USERPROFILE\Desktop\logs.zip,zip -r ~/Desktop/logs.zip logs,1,Compress-Archive -Path logs -DestinationPath $env:USERPROFILE\Desktop\logs.zip,Compress-Archive -Path logs -DestinationPath $env:USERPROFILE\Desktop\logs.zip,1,2.1,2.5,4.8,1.5,8.8,0,No,None,None
T006,P01,6,Easy,Create new directory called test,Create new directory called test,Create new directory called test,100.0,mkdir test,New-Item -ItemType Directory -Name test,md test,1,mkdir test,mkdir test,1,0.7,2.1,4.1,1.0,7.2,0,No,None,None
T007,P01,7,Medium,Search for error in log files,Search for error in log files,Search for error in log files,100.0,Select-String -Path *.log -Pattern "error",Select-String -Path *.log -Pattern "error",grep -r "error" *.log,1,Select-String -Path *.log -Pattern "error",Select-String -Path *.log -Pattern "error",1,1.3,2.3,4.4,1.2,7.9,0,No,None,None
T008,P01,8,Hard,Backup database and compress backup,Backup database and compress backup,Backup database and compress backup,100.0,Backup-SqlDatabase -ServerInstance . -Database MyDB -BackupFile backup.bak; Compress-Archive -Path backup.bak -DestinationPath backup.zip,Backup-SqlDatabase -ServerInstance . -Database MyDB -BackupFile backup.bak; Compress-Archive -Path backup.bak -DestinationPath backup.zip,sqlcmd -Q "BACKUP DATABASE MyDB TO DISK='backup.bak'"; gzip backup.bak,1,Backup-SqlDatabase -ServerInstance . -Database MyDB -BackupFile backup.bak; Compress-Archive -Path backup.bak -DestinationPath backup.zip,Backup-SqlDatabase -ServerInstance . -Database MyDB -BackupFile backup.bak; Compress-Archive -Path backup.bak -DestinationPath backup.zip,1,2.3,2.6,4.9,1.6,9.1,0,No,None,None
T009,P01,9,Easy,Display system information,Display system information,Display system information,100.0,systeminfo,Get-ComputerInfo,sysinfo,1,systeminfo,systeminfo,1,0.9,2.2,4.2,1.1,7.5,0,No,None,None
T010,P01,10,Medium,List running processes sorted by CPU,List running processes sorted by CPU,List running processes sorted by CPU,100.0,Get-Process | Sort-Object CPU -Descending,Get-Process | Sort-Object CPU -Descending,ps aux --sort=-%cpu,1,Get-Process | Sort-Object CPU -Descending,Get-Process | Sort-Object CPU -Descending,1,1.4,2.4,4.6,1.3,8.3,0,No,None,None
T011,P01,11,Hard,Install package and verify installation,Install package and verify installation,Install package and verify installation,100.0,Install-Module -Name PackageName -Force; Get-Module -Name PackageName,Install-Module -Name PackageName -Force; Get-Module -Name PackageName,choco install packagename; choco list packagename,1,Install-Module -Name PackageName -Force; Get-Module -Name PackageName,Install-Module -Name PackageName -Force; Get-Module -Name PackageName,1,2.0,2.5,4.7,1.4,8.6,0,No,None,None
T012,P01,12,Easy,Show network connections,Show network connections,Show network connections,100.0,netstat,Get-NetTCPConnection,ss,1,netstat,netstat,1,0.8,2.1,4.1,1.0,7.2,0,No,None,None
T013,P01,13,Medium,Find files modified today,Find files modified today,Find files modified today,100.0,Get-ChildItem -Recurse | Where-Object {$_.LastWriteTime -gt (Get-Date).Date},Get-ChildItem -Recurse | Where-Object {$_.LastWriteTime -gt (Get-Date).Date},find . -mtime -1,1,Get-ChildItem -Recurse | Where-Object {$_.LastWriteTime -gt (Get-Date).Date},Get-ChildItem -Recurse | Where-Object {$_.LastWriteTime -gt (Get-Date).Date},1,1.5,2.4,4.5,1.3,8.2,0,No,None,None
T014,P01,14,Hard,Setup development environment with git,Setup development environment with git,Setup development environment with git,100.0,git clone https://github.com/user/repo.git; cd repo; npm install,git clone https://github.com/user/repo.git; cd repo; npm install,git clone https://github.com/user/repo.git && cd repo && npm install,1,git clone https://github.com/user/repo.git; cd repo; npm install,git clone https://github.com/user/repo.git; cd repo; npm install,1,2.2,2.6,4.8,1.5,8.9,0,No,None,None
T015,P01,15,Easy,Clear screen,Clear screen,Clear screen,100.0,cls,Clear-Host,clear,1,cls,cls,1,0.5,2.0,4.0,1.0,6.5,0,No,None,None
T016,P01,16,Medium,Check disk space usage,Check disk space usage,Check disk space usage,100.0,Get-WmiObject -Class Win32_LogicalDisk | Select-Object DeviceID,Size,FreeSpace,Get-WmiObject -Class Win32_LogicalDisk | Select-Object DeviceID,Size,FreeSpace,df -h,1,Get-WmiObject -Class Win32_LogicalDisk | Select-Object DeviceID,Size,FreeSpace,Get-WmiObject -Class Win32_LogicalDisk | Select-Object DeviceID,Size,FreeSpace,1,1.2,2.3,4.4,1.2,7.9,0,No,None,None
T017,P01,17,Hard,Monitor system performance for 5 minutes,Monitor system performance for 5 minutes,Monitor system performance for 5 minutes,100.0,Get-Counter -Counter "\Processor(_Total)\% Processor Time" -SampleInterval 1 -MaxSamples 300,Get-Counter -Counter "\Processor(_Total)\% Processor Time" -SampleInterval 1 -MaxSamples 300,top -b -n 300 -d 1,1,Get-Counter -Counter "\Processor(_Total)\% Processor Time" -SampleInterval 1 -MaxSamples 300,Get-Counter -Counter "\Processor(_Total)\% Processor Time" -SampleInterval 1 -MaxSamples 300,1,2.4,2.7,5.0,1.7,9.4,0,No,None,None
T018,P01,18,Easy,Show current date and time,Show current date and time,Show current date and time,100.0,Get-Date,date,Get-Date,1,Get-Date,Get-Date,1,0.6,2.1,4.1,1.0,7.2,0,No,None,None
T019,P01,19,Medium,List environment variables,List environment variables,List environment variables,100.0,Get-ChildItem Env:,Get-ChildItem Env:,env,1,Get-ChildItem Env:,Get-ChildItem Env:,1,1.1,2.2,4.3,1.1,7.6,0,No,None,None
T020,P01,20,Hard,Create backup script and schedule it,Create backup script and schedule it,Create backup script and schedule it,100.0,New-Item -ItemType File -Name backup.ps1 -Value "Copy-Item -Path source -Destination backup"; Register-ScheduledJob -Name BackupJob -FilePath backup.ps1 -Trigger (New-JobTrigger -At 2am -Daily),New-Item -ItemType File -Name backup.ps1 -Value "Copy-Item -Path source -Destination backup"; Register-ScheduledJob -Name BackupJob -FilePath backup.ps1 -Trigger (New-JobTrigger -At 2am -Daily),echo 'cp -r source backup' > backup.sh; crontab -e,1,New-Item -ItemType File -Name backup.ps1 -Value "Copy-Item -Path source -Destination backup"; Register-ScheduledJob -Name BackupJob -FilePath backup.ps1 -Trigger (New-JobTrigger -At 2am -Daily),New-Item -ItemType File -Name backup.ps1 -Value "Copy-Item -Path source -Destination backup"; Register-ScheduledJob -Name BackupJob -FilePath backup.ps1 -Trigger (New-JobTrigger -At 2am -Daily),1,2.5,2.8,5.1,1.8,9.7,0,No,None,None
T021,P02,1,Easy,List files in current directory,List files in current directory,List files in current directory,100.0,dir,ls,Get-ChildItem,1,dir,dir,1,0.7,2.0,4.1,1.0,6.8,0,No,None,None
T022,P02,2,Easy,Show current working directory,Show current working directory,Show current working directory,100.0,pwd,cd,Get-Location,1,pwd,pwd,1,0.5,2.1,4.0,1.0,6.6,0,No,None,None
T023,P02,3,Medium,Find all PDF files recursively,Find all PDF files recursively,Find all PDF files recursively,100.0,Get-ChildItem -Recurse -Filter *.pdf,dir /s *.pdf,find . -name "*.pdf",1,Get-ChildItem -Recurse -Filter *.pdf,Get-ChildItem -Recurse -Filter *.pdf,1,1.1,2.2,4.3,1.2,7.7,0,No,None,None
