Error_ID,Trial_ID,Participant_ID,Task_Difficulty,Task_Description,Error_Category,Error_Subcategory,Error_Description,ASR_Transcript,Reference_Text,ASR_Accuracy,LLM_Suggestion_1,LLM_Suggestion_2,LLM_Suggestion_3,Correct_Command,User_Action,Recovery_Attempted,Recovery_Successful,Error_Severity,Root_Cause,Prevention_Strategy
E001,T017,P05,Hard,Search for error in system logs,ASR Misrecognition,Technical Term,"grep" misrecognized as "grab",Search for error in system lags,Search for error in system logs,85.7,Select-String -Path *.log -Pattern "grab",Select-String -Path *.log -Pattern "grab",grep -r "grab" *.log,Select-String -Path *.log -Pattern "error",Manual Edit,Yes,Yes,Medium,Whisper training data lacks CLI terms,Whisper fine-tuning on CLI terminology
E002,T042,P12,Medium,List only PDF files recursively,LLM Flag Error,Missing Flag,Missing /s flag for recursive listing,List only PDF files recursively,List only PDF files recursively,100.0,dir *.pdf,Get-ChildItem -Filter *.pdf,dir *.pdf,dir /s *.pdf,Manual Edit,Yes,Yes,Low,LLM lacks understanding of recursive flag requirements,Enhanced prompt engineering with flag examples
E003,T089,P08,Hard,Compress logs and move to desktop,LLM Flag Error,Missing Path,Missing destination path specification,Compress logs and move to desktop,Compress logs and move to desktop,100.0,Compress-Archive -Path logs,Compress-Archive -Path logs,zip logs,Compress-Archive -Path logs -DestinationPath $env:USERPROFILE\Desktop\logs.zip,Manual Edit,Yes,Yes,Medium,LLM incomplete command generation,Template-based command generation
E004,T156,P03,Medium,Find files modified today,LLM Flag Error,Missing Filter,Missing date filter flag,Find files modified today,Find files modified today,100.0,Get-ChildItem -Recurse,Get-ChildItem -Recurse,dir /s,Get-ChildItem -Recurse | Where-Object {$_.LastWriteTime -gt (Get-Date).Date},Manual Edit,Yes,Yes,Medium,LLM lacks temporal filtering knowledge,Enhanced training on time-based queries
E005,T203,P15,Hard,Backup database and compress,LLM Flag Error,Missing Parameters,Missing database name and backup file parameters,Backup database and compress,Backup database and compress,100.0,Backup-SqlDatabase,Backup-SqlDatabase,sqlcmd -Q "BACKUP",Backup-SqlDatabase -ServerInstance . -Database MyDB -BackupFile backup.bak,Manual Edit,Yes,No,High,LLM cannot infer required parameters,Parameter validation and suggestion
E006,T234,P22,Medium,Search for specific text pattern,ASR Misrecognition,Pattern Recognition,Pattern misrecognized as "pettern",Search for specific text pettern,Search for specific text pattern,90.0,Select-String -Pattern "pettern",Select-String -Pattern "pettern",findstr "pettern",Select-String -Pattern "pattern",Manual Edit,Yes,Yes,Low,Whisper phonetic confusion,Improved ASR training on technical terms
E007,T267,P11,Hard,Install package and verify,LLM Flag Error,Missing Verification,Missing package verification step,Install package and verify,Install package and verify,100.0,Install-Module -Name PackageName,Install-Module -Name PackageName,choco install packagename,Install-Module -Name PackageName -Force; Get-Module -Name PackageName,Manual Edit,Yes,Yes,Medium,LLM incomplete workflow understanding,Multi-step command templates
E008,T289,P07,Medium,List processes by CPU usage,LLM Flag Error,Missing Sort,Missing CPU sorting parameter,List processes by CPU usage,List processes by CPU usage,100.0,Get-Process,Get-Process,ps,Get-Process | Sort-Object CPU -Descending,Manual Edit,Yes,Yes,Low,LLM lacks sorting parameter knowledge,Enhanced parameter training
E009,T312,P19,Hard,Setup git repository and clone,LLM Flag Error,Missing URL,Missing repository URL parameter,Setup git repository and clone,Setup git repository and clone,100.0,git clone,git clone,git init,git clone https://github.com/user/repo.git,Manual Edit,Yes,No,High,LLM cannot generate placeholder URLs,URL template generation
E010,T345,P14,Medium,Find files by extension,ASR Misrecognition,Extension Confusion,File extension misrecognized,Find files by extension,Find files by extension,88.0,Get-ChildItem -Filter *extension,Get-ChildItem -Filter *extension,dir *extension,Get-ChildItem -Filter *.txt,Manual Edit,Yes,Yes,Medium,Whisper lacks file extension vocabulary,Technical vocabulary training
E011,T378,P09,Hard,Create backup script and schedule,LLM Flag Error,Missing Schedule,Missing cron/scheduler parameters,Create backup script and schedule,Create backup script and schedule,100.0,New-Item -ItemType File -Name backup.ps1,New-Item -ItemType File -Name backup.ps1,echo 'backup' > backup.sh,New-Item -ItemType File -Name backup.ps1 -Value "Copy-Item -Path source -Destination backup"; Register-ScheduledJob -Name BackupJob -FilePath backup.ps1 -Trigger (New-JobTrigger -At 2am -Daily),Manual Edit,Yes,No,High,LLM lacks scheduling knowledge,Scheduling command templates
E012,T401,P16,Medium,Check network connectivity,LLM Flag Error,Missing Target,Missing ping target parameter,Check network connectivity,Check network connectivity,100.0,ping,ping,Test-NetConnection,ping google.com,Manual Edit,Yes,Yes,Low,LLM cannot infer network targets,Common network target suggestions
E013,T423,P13,Hard,Monitor system performance,LLM Flag Error,Missing Duration,Missing monitoring duration parameters,Monitor system performance,Monitor system performance,100.0,Get-Counter,Get-Counter,Get-Process,Get-Counter -Counter "\Processor(_Total)\% Processor Time" -SampleInterval 1 -MaxSamples 300,Manual Edit,Yes,Yes,Medium,LLM lacks time parameter understanding,Time-based parameter training
E014,T456,P20,Medium,Search for error messages,ASR Misrecognition,Message Recognition,Error message misrecognized,Search for error messages,Search for error messages,92.0,Select-String -Pattern "error messages",Select-String -Pattern "error messages",findstr "error messages",Select-String -Pattern "error",Manual Edit,Yes,Yes,Low,Whisper vocabulary limitations,Error message vocabulary training
E015,T478,P21,Hard,Setup development environment,LLM Flag Error,Missing Dependencies,Missing dependency installation steps,Setup development environment,Setup development environment,100.0,git clone,git clone,mkdir dev,git clone https://github.com/user/repo.git; cd repo; npm install,Manual Edit,Yes,No,High,LLM incomplete environment setup knowledge,Environment setup templates
E016,T501,P06,Medium,List running services,LLM Flag Error,Missing Service Filter,Missing running service filter,List running services,List running services,100.0,Get-Service,Get-Service,sc query,Get-Service | Where-Object {$_.Status -eq "Running"},Manual Edit,Yes,Yes,Medium,LLM lacks service status filtering,Service filtering examples
E017,T523,P18,Hard,Create user account and set permissions,LLM Flag Error,Missing Permissions,Missing permission setting parameters,Create user account and set permissions,Create user account and set permissions,100.0,New-LocalUser,New-LocalUser,useradd,New-LocalUser -Name username -Password (ConvertTo-SecureString "password" -AsPlainText -Force); Add-LocalGroupMember -Group "Users" -Member username,Manual Edit,Yes,No,High,LLM lacks permission management knowledge,Permission management templates
E018,T545,P10,Medium,Find large files,LLM Flag Error,Missing Size Filter,Missing file size threshold,Find large files,Find large files,100.0,Get-ChildItem -Recurse,Get-ChildItem -Recurse,find . -type f,Get-ChildItem -Recurse | Where-Object {$_.Length -gt 100MB},Manual Edit,Yes,Yes,Medium,LLM cannot infer size thresholds,Size threshold examples
